customer_id,tenure_months,monthly_charges,support_tickets,contract_type,payment_method,total_charges,churn,avg_monthly_value,expected_annual_value
67,65,106.84,2,Two year,Bank transfer,6971.8,1,105.63333333333334,1267.6000000000001
68,27,68.98,1,One year,Mailed check,1851.52,0,66.12571428571428,793.5085714285714
69,6,78.4,2,Month-to-month,Credit card,482.3,1,68.9,826.8000000000001
70,34,40.05,0,One year,Credit card,1322.95,0,37.79857142857143,453.58285714285716
71,57,15.56,2,Month-to-month,Credit card,930.14,0,16.036896551724137,192.44275862068963
72,14,75.4,0,Month-to-month,Credit card,996.18,1,66.41199999999999,796.944
73,33,42.42,0,One year,Credit card,1512.14,0,44.47470588235294,533.6964705882353
74,10,83.0,2,One year,Bank transfer,941.9,1,85.62727272727273,1027.5272727272727
75,49,101.99,3,Month-to-month,Credit card,5079.14,1,101.5828,1218.9936
76,34,12.0,1,One year,Bank transfer,471.77,0,13.479142857142856,161.74971428571428
77,24,75.53,2,Month-to-month,Mailed check,1808.49,1,72.3396,868.0752
78,17,35.44,2,Month-to-month,Mailed check,660.81,0,36.711666666666666,440.53999999999996
79,41,106.13,1,Two year,Bank transfer,4346.52,1,103.48857142857143,1241.8628571428571
80,48,37.9,0,Month-to-month,Credit card,1741.52,1,35.541224489795916,426.49469387755096
81,67,77.18,1,Month-to-month,Credit card,5246.22,0,77.15029411764706,925.8035294117648
82,32,70.89,1,Month-to-month,Credit card,2324.92,0,70.45212121212121,845.4254545454546
83,12,53.58,0,Month-to-month,Mailed check,641.39,1,49.33769230769231,592.0523076923077
84,60,84.54,1,Month-to-month,Mailed check,5011.14,0,82.14983606557378,985.7980327868854
85,45,89.83,2,Two year,Credit card,4013.04,1,87.24,1046.8799999999999
86,50,72.36,3,One year,Credit card,3526.94,0,69.1556862745098,829.8682352941177
87,7,93.43,2,One year,Bank transfer,701.26,1,87.6575,1051.8899999999999
88,23,118.18,3,Month-to-month,Credit card,2637.97,1,109.91541666666666,1318.985
89,55,56.12,3,Month-to-month,Mailed check,3100.94,0,55.37392857142857,664.4871428571429
90,60,66.6,0,Month-to-month,Credit card,3953.82,0,64.81672131147542,777.800655737705
91,31,11.37,1,Month-to-month,Credit card,281.13,0,8.7853125,105.42375
92,58,97.56,1,Month-to-month,Credit card,5670.4,1,96.10847457627118,1153.301694915254
93,60,67.23,1,One year,Credit card,4017.11,1,65.85426229508197,790.2511475409835
94,28,54.88,2,Two year,Credit card,1578.55,0,54.432758620689654,653.1931034482759
95,64,20.35,3,Month-to-month,Mailed check,1239.02,0,19.061846153846155,228.74215384615385
96,21,107.86,1,Month-to-month,Credit card,2227.19,0,101.23590909090909,1214.830909090909
97,18,53.45,0,One year,Bank transfer,842.72,0,44.35368421052632,532.2442105263158
98,49,85.08,3,Month-to-month,Credit card,4059.7,0,81.194,974.328
99,46,26.43,1,Two year,Credit card,1305.69,0,27.78063829787234,333.36765957446806
100,10,115.77,3,Month-to-month,Credit card,1261.88,1,114.71636363636365,1376.5963636363638
101,60,29.63,1,Month-to-month,Credit card,1782.44,0,29.22032786885246,350.6439344262295
102,15,31.95,3,Month-to-month,Credit card,438.06,1,27.37875,328.545
103,58,104.49,0,Two year,Credit card,6045.5,1,102.46610169491525,1229.593220338983
104,1,110.38,0,Month-to-month,Mailed check,154.06,1,77.03,924.36
105,57,33.34,0,One year,Bank transfer,1874.66,0,32.321724137931035,387.86068965517245
106,56,61.68,2,Month-to-month,Mailed check,3465.96,0,60.806315789473686,729.6757894736843
107,56,90.68,0,Month-to-month,Credit card,5077.44,1,89.0778947368421,1068.9347368421052
108,48,106.62,0,Two year,Bank transfer,5089.32,0,103.86367346938775,1246.3640816326529
109,34,51.7,1,Month-to-month,Bank transfer,1731.49,1,49.47114285714286,593.6537142857143
110,51,66.87,1,Month-to-month,Credit card,3425.04,1,65.86615384615385,790.3938461538462
111,20,91.59,1,Month-to-month,Credit card,1782.96,0,84.90285714285714,1018.8342857142857
112,56,90.42,2,Two year,Bank transfer,5086.11,0,89.22999999999999,1070.7599999999998
113,40,96.13,0,Month-to-month,Bank transfer,3821.62,0,93.21024390243902,1118.5229268292683
114,33,72.69,3,Month-to-month,Bank transfer,2405.14,0,70.73941176470588,848.8729411764705
115,36,21.51,0,Two year,Credit card,843.56,0,22.79891891891892,273.58702702702703
116,41,109.44,2,One year,Mailed check,4478.63,1,106.63404761904762,1279.6085714285714
117,3,105.21,3,Two year,Credit card,361.62,1,90.405,1084.8600000000001
118,10,97.79,0,One year,Mailed check,888.3,0,80.75454545454545,969.0545454545454
119,18,20.98,4,One year,Mailed check,354.12,0,18.637894736842107,223.65473684210528
120,9,32.48,1,Month-to-month,Mailed check,293.7,1,29.369999999999997,352.43999999999994
121,32,91.8,0,Month-to-month,Bank transfer,3033.77,1,91.93242424242425,1103.189090909091
122,48,12.55,0,One year,Credit card,504.4,0,10.293877551020408,123.5265306122449
123,47,117.71,1,One year,Bank transfer,5527.56,1,115.15750000000001,1381.89
124,34,51.49,0,Two year,Bank transfer,1823.49,0,52.099714285714285,625.1965714285714
125,61,89.12,1,Month-to-month,Bank transfer,5397.07,1,87.04951612903226,1044.594193548387
126,41,107.63,0,Month-to-month,Credit card,4402.19,1,104.81404761904761,1257.7685714285712
127,6,53.41,1,Month-to-month,Credit card,337.05,0,48.15,577.8
128,55,45.1,2,One year,Credit card,2489.73,0,44.45946428571428,533.5135714285714
129,41,76.96,4,Month-to-month,Bank transfer,3233.65,1,76.99166666666667,923.9000000000001
130,46,73.91,2,One year,Bank transfer,3422.28,1,72.81446808510638,873.7736170212766
131,41,55.01,3,Month-to-month,Mailed check,2321.8,1,55.280952380952385,663.3714285714286
132,40,76.2,0,Month-to-month,Bank transfer,3030.0,1,73.90243902439025,886.829268292683
133,7,112.89,1,Month-to-month,Bank transfer,753.2,1,94.15,1129.8000000000002
134,40,61.44,1,One year,Credit card,2446.31,1,59.66609756097561,715.9931707317073
135,57,31.64,0,Two year,Bank transfer,1745.52,0,30.095172413793104,361.14206896551724
136,22,51.49,1,Month-to-month,Credit card,1156.96,1,50.302608695652175,603.6313043478261
137,43,53.35,1,Month-to-month,Credit card,2274.76,1,51.69909090909091,620.389090909091
138,3,24.42,1,Month-to-month,Credit card,39.67,0,9.9175,119.01
139,25,27.92,1,Month-to-month,Credit card,722.93,1,27.805,333.65999999999997
140,32,85.3,2,Month-to-month,Credit card,2672.41,1,80.98212121212121,971.7854545454545
141,70,47.34,1,Two year,Bank transfer,3352.33,0,47.21591549295775,566.590985915493
142,16,115.04,0,Two year,Credit card,1816.72,1,106.86588235294118,1282.3905882352942
143,20,36.8,1,Month-to-month,Credit card,793.95,0,37.80714285714286,453.6857142857143
144,30,20.88,3,Month-to-month,Credit card,606.76,0,19.572903225806453,234.87483870967742
145,71,92.89,1,Month-to-month,Bank transfer,6626.79,0,92.03875,1104.465
146,61,106.91,0,Month-to-month,Bank transfer,6530.49,1,105.33048387096774,1263.965806451613
147,3,40.59,0,Month-to-month,Credit card,158.97,0,39.7425,476.90999999999997
148,17,32.23,2,One year,Credit card,553.41,0,30.744999999999997,368.93999999999994
149,59,30.43,3,Month-to-month,Mailed check,1712.2,0,28.53666666666667,342.44000000000005
150,5,67.42,3,One year,Bank transfer,387.54,1,64.59,775.08
151,61,61.53,1,Month-to-month,Bank transfer,3748.95,1,60.46693548387096,725.6032258064515
152,20,38.54,1,One year,Bank transfer,810.28,0,38.584761904761905,463.01714285714286
153,66,14.97,0,One year,Mailed check,1022.53,0,15.261641791044775,183.1397014925373
154,21,62.96,0,Month-to-month,Mailed check,1283.5,1,58.34090909090909,700.0909090909091
155,31,115.53,1,Month-to-month,Credit card,3535.69,1,110.4903125,1325.88375
156,47,81.78,0,One year,Bank transfer,3876.43,0,80.75895833333333,969.1074999999998
157,9,64.51,1,One year,Credit card,565.43,1,56.54299999999999,678.5159999999998
158,40,22.18,3,Month-to-month,Bank transfer,934.02,1,22.780975609756098,273.3717073170732
159,36,37.77,0,Month-to-month,Credit card,1350.81,0,36.508378378378374,438.10054054054046
160,56,42.43,1,Month-to-month,Credit card,2427.25,0,42.583333333333336,511.0
161,71,94.13,3,One year,Mailed check,6704.4,0,93.11666666666666,1117.3999999999999
162,48,106.44,2,One year,Mailed check,5123.52,0,104.56163265306124,1254.739591836735
163,30,109.18,0,Month-to-month,Credit card,3256.7,1,105.05483870967741,1260.658064516129
164,29,118.3,0,One year,Mailed check,3442.32,1,114.744,1376.9279999999999
165,30,118.06,1,One year,Credit card,3601.44,1,116.17548387096774,1394.1058064516128
166,58,114.83,1,One year,Bank transfer,6657.43,1,112.83779661016949,1354.0535593220338
167,23,17.9,3,Month-to-month,Mailed check,438.26,0,18.260833333333334,219.13
168,12,25.16,0,Month-to-month,Credit card,304.24,0,23.403076923076924,280.8369230769231
169,24,43.49,1,Month-to-month,Bank transfer,1049.99,1,41.9996,503.9952
170,2,70.82,5,Month-to-month,Bank transfer,227.81,1,75.93666666666667,911.24
171,8,20.67,2,Month-to-month,Credit card,225.45,1,25.049999999999997,300.59999999999997
172,7,103.04,1,Month-to-month,Credit card,725.25,1,90.65625,1087.875
173,55,77.84,0,Month-to-month,Credit card,4291.92,0,76.64142857142858,919.6971428571429
174,52,69.66,0,One year,Bank transfer,3587.23,0,67.68358490566038,812.2030188679246
175,50,28.18,0,Month-to-month,Credit card,1400.35,1,27.4578431372549,329.49411764705883
176,33,37.86,2,One year,Credit card,1264.85,0,37.20147058823529,446.4176470588235
177,51,27.63,1,Month-to-month,Bank transfer,1451.66,0,27.91653846153846,334.9984615384615
178,12,103.71,1,Month-to-month,Credit card,1281.98,0,98.61384615384615,1183.3661538461538
179,64,74.27,1,Month-to-month,Credit card,4697.82,0,72.27415384615384,867.289846153846
180,36,90.86,3,One year,Bank transfer,3319.81,1,89.72459459459459,1076.6951351351352
181,67,42.56,0,One year,Bank transfer,2847.08,0,41.86882352941176,502.42588235294113
182,11,50.84,4,Month-to-month,Credit card,509.89,1,42.490833333333335,509.89
183,36,54.53,3,One year,Mailed check,2029.9,0,54.862162162162164,658.3459459459459
184,50,93.6,2,Month-to-month,Bank transfer,4753.16,1,93.19921568627451,1118.3905882352942
185,36,94.96,1,Month-to-month,Credit card,3431.75,1,92.75,1113.0
186,32,32.75,0,Month-to-month,Bank transfer,1083.44,0,32.831515151515156,393.97818181818184
187,12,113.57,2,Month-to-month,Bank transfer,1401.21,1,107.78538461538461,1293.4246153846154
188,28,23.27,0,Month-to-month,Bank transfer,721.35,0,24.874137931034483,298.4896551724138
189,17,108.57,3,Two year,Bank transfer,1882.09,1,104.56055555555555,1254.7266666666667
190,22,21.04,1,Month-to-month,Bank transfer,396.5,0,17.23913043478261,206.8695652173913
191,49,39.1,1,Month-to-month,Mailed check,2016.39,0,40.3278,483.93360000000007
192,45,103.11,1,Month-to-month,Bank transfer,4693.23,0,102.02673913043478,1224.3208695652174
193,44,29.74,1,Month-to-month,Mailed check,1283.08,1,28.512888888888888,342.1546666666667
194,26,55.49,2,Month-to-month,Bank transfer,1391.26,1,51.52814814814815,618.3377777777778
195,69,59.48,1,Two year,Mailed check,4129.36,1,58.99085714285714,707.8902857142857
196,7,36.98,1,One year,Mailed check,244.95,1,30.61875,367.42499999999995
197,25,88.13,1,Month-to-month,Credit card,2219.75,1,85.375,1024.5
198,9,103.65,1,One year,Credit card,970.02,1,97.002,1164.024
199,25,106.2,1,Month-to-month,Bank transfer,2626.68,1,101.02615384615385,1212.313846153846
200,69,47.33,2,Month-to-month,Credit card,3209.96,1,45.85657142857143,550.2788571428571
201,27,68.39,3,Month-to-month,Bank transfer,1865.82,0,66.63642857142857,799.6371428571429
202,65,37.32,1,Month-to-month,Bank transfer,2399.13,1,36.35045454545455,436.2054545454546
203,36,36.93,2,Month-to-month,Mailed check,1336.78,1,36.12918918918919,433.5502702702703
204,50,27.74,1,One year,Credit card,1319.83,0,25.879019607843137,310.54823529411766
205,33,113.4,2,Month-to-month,Bank transfer,3729.59,1,109.69382352941177,1316.3258823529413
206,19,107.68,1,Two year,Credit card,2081.67,0,104.0835,1249.002
207,55,95.51,0,One year,Bank transfer,5283.35,1,94.34553571428572,1132.1464285714287
208,69,66.94,2,One year,Credit card,4579.44,0,65.42057142857142,785.0468571428571
209,19,63.97,0,One year,Bank transfer,1157.02,0,57.851,694.212
210,56,68.27,0,Two year,Bank transfer,3823.91,0,67.08614035087719,805.0336842105262
211,19,69.02,1,Month-to-month,Bank transfer,1339.43,0,66.9715,803.6580000000001
212,51,57.8,2,Month-to-month,Bank transfer,2968.06,0,57.07807692307692,684.936923076923
213,57,24.49,1,Month-to-month,Credit card,1370.32,0,23.62620689655172,283.51448275862066
214,32,23.82,1,Two year,Credit card,777.13,0,23.54939393939394,282.5927272727273
215,53,114.75,1,Month-to-month,Credit card,6156.87,0,114.01611111111112,1368.1933333333334
216,20,63.02,2,Month-to-month,Mailed check,1270.66,1,60.50761904761905,726.0914285714287
217,6,114.85,2,One year,Mailed check,607.44,1,86.77714285714286,1041.3257142857144
218,7,27.99,0,Month-to-month,Credit card,206.09,1,25.76125,309.135
219,32,70.99,1,Two year,Credit card,2373.88,1,71.93575757575758,863.2290909090909
220,65,32.85,0,Month-to-month,Credit card,2070.88,0,31.3769696969697,376.5236363636364
221,10,37.85,1,Month-to-month,Bank transfer,379.99,1,34.54454545454546,414.5345454545455
222,33,13.31,2,Month-to-month,Credit card,427.91,0,12.585588235294118,151.02705882352942
223,50,23.08,0,Month-to-month,Credit card,1158.79,1,22.721372549019605,272.65647058823527
224,15,110.85,1,Month-to-month,Credit card,1672.46,1,104.52875,1254.345
225,52,45.37,1,Month-to-month,Credit card,2416.24,0,45.589433962264145,547.0732075471698
226,22,76.89,1,Month-to-month,Credit card,1695.82,1,73.73130434782608,884.7756521739129
227,58,61.15,0,One year,Credit card,3610.56,0,61.19593220338983,734.351186440678
228,42,54.05,1,Two year,Bank transfer,2264.22,1,52.656279069767436,631.8753488372092
229,39,68.51,0,Month-to-month,Bank transfer,2654.38,1,66.3595,796.314
230,13,30.6,2,Month-to-month,Credit card,364.34,0,26.024285714285714,312.2914285714286
231,33,118.75,4,Month-to-month,Bank transfer,3827.9,1,112.58529411764707,1351.0235294117647
232,61,100.01,3,Two year,Bank transfer,6114.4,0,98.61935483870967,1183.432258064516
233,2,91.58,1,One year,Bank transfer,285.86,0,95.28666666666668,1143.44
234,54,61.56,2,Month-to-month,Mailed check,3347.15,0,60.85727272727273,730.2872727272727
235,35,26.82,2,Month-to-month,Credit card,973.04,0,27.028888888888886,324.34666666666664
236,52,111.27,2,Two year,Mailed check,5765.39,0,108.78094339622642,1305.371320754717
237,48,47.55,1,Two year,Bank transfer,2270.18,0,46.33020408163265,555.9624489795918
238,31,15.51,2,Month-to-month,Bank transfer,530.04,1,16.56375,198.765
239,22,47.66,0,One year,Credit card,1148.95,1,49.95434782608696,599.4521739130435
240,45,97.39,0,Month-to-month,Credit card,4456.95,1,96.89021739130435,1162.682608695652
241,10,78.5,0,Month-to-month,Credit card,825.26,1,75.02363636363636,900.2836363636363
242,42,92.59,1,One year,Mailed check,3890.54,0,90.47767441860465,1085.7320930232559
243,7,97.3,0,Month-to-month,Bank transfer,691.59,1,86.44875,1037.385
244,47,33.32,2,Month-to-month,Credit card,1528.36,1,31.840833333333332,382.09
245,45,111.62,3,Two year,Bank transfer,4950.49,0,107.61934782608695,1291.4321739130435
246,6,58.18,4,One year,Credit card,292.74,1,41.82,501.84000000000003
247,54,80.29,1,Month-to-month,Credit card,4338.15,0,78.87545454545455,946.5054545454545
248,30,10.25,3,One year,Bank transfer,292.9,1,9.448387096774193,113.38064516129032
249,56,119.27,1,One year,Bank transfer,6605.65,1,115.88859649122806,1390.6631578947367
250,3,40.9,0,Month-to-month,Bank transfer,120.83,1,30.2075,362.49
251,13,16.83,1,Two year,Bank transfer,202.87,0,14.490714285714287,173.88857142857142
252,36,60.41,0,One year,Bank transfer,2116.12,1,57.192432432432426,686.309189189189
253,14,24.19,0,Month-to-month,Mailed check,320.15,1,21.34333333333333,256.11999999999995
254,24,26.76,0,Month-to-month,Credit card,626.19,0,25.047600000000003,300.57120000000003
255,47,79.55,2,One year,Bank transfer,3708.02,1,77.25041666666667,927.005
256,11,53.22,0,Two year,Bank transfer,631.75,0,52.645833333333336,631.75
257,49,111.4,1,Month-to-month,Credit card,5363.45,1,107.26899999999999,1287.2279999999998
258,8,45.11,1,Month-to-month,Credit card,261.59,1,29.06555555555555,348.78666666666663
259,13,89.88,1,One year,Credit card,1168.6,1,83.47142857142856,1001.6571428571427
260,42,60.72,1,Month-to-month,Credit card,2555.05,0,59.41976744186047,713.0372093023257
261,57,82.59,4,Month-to-month,Bank transfer,4727.84,0,81.51448275862069,978.1737931034482
262,13,75.97,2,Two year,Credit card,960.66,0,68.61857142857143,823.4228571428571
263,22,62.01,1,One year,Bank transfer,1318.32,0,57.318260869565215,687.8191304347826
264,66,114.51,3,Two year,Credit card,7557.29,1,112.79537313432836,1353.5444776119402
265,71,47.7,0,One year,Credit card,3364.62,0,46.73083333333333,560.77
266,42,29.5,1,Month-to-month,Credit card,1316.55,0,30.617441860465114,367.4093023255814
267,32,84.59,2,Two year,Credit card,2690.67,0,81.53545454545454,978.4254545454545
268,25,103.06,0,Month-to-month,Mailed check,2573.84,1,98.99384615384616,1187.926153846154
269,44,14.43,0,Month-to-month,Credit card,758.69,0,16.85977777777778,202.31733333333335
270,42,59.46,1,Two year,Credit card,2487.58,0,57.850697674418605,694.2083720930233
271,21,108.17,0,One year,Credit card,2299.38,0,104.51727272727273,1254.2072727272728
272,2,92.46,1,Two year,Credit card,217.24,0,72.41333333333334,868.96
273,11,119.1,1,Month-to-month,Bank transfer,1346.67,1,112.22250000000001,1346.67
274,69,68.46,1,Two year,Bank transfer,4738.21,0,67.68871428571428,812.2645714285713
275,30,82.6,3,One year,Credit card,2487.69,1,80.24806451612903,962.9767741935484
276,35,43.27,2,One year,Bank transfer,1519.47,0,42.2075,506.49
277,34,114.23,1,Two year,Bank transfer,3855.02,1,110.14342857142857,1321.721142857143
278,56,50.3,0,Month-to-month,Mailed check,2833.08,0,49.70315789473684,596.437894736842
279,5,91.24,1,One year,Bank transfer,557.63,0,92.93833333333333,1115.26
280,6,54.35,1,One year,Credit card,386.63,1,55.23285714285714,662.7942857142857
281,20,71.8,1,One year,Bank transfer,1451.2,0,69.1047619047619,829.2571428571428
282,35,89.18,1,Two year,Mailed check,3164.09,0,87.8913888888889,1054.6966666666667
283,48,65.98,0,One year,Bank transfer,3123.58,0,63.7465306122449,764.9583673469388
284,35,109.78,0,Month-to-month,Mailed check,3829.27,1,106.36861111111111,1276.4233333333332
285,32,56.12,0,Month-to-month,Mailed check,1843.23,1,55.85545454545455,670.2654545454545
286,67,81.18,0,Two year,Credit card,5513.42,1,81.07970588235294,972.9564705882353
287,12,47.66,0,Two year,Bank transfer,533.38,0,41.02923076923077,492.3507692307693
288,41,54.9,1,Two year,Bank transfer,2226.72,0,53.01714285714285,636.2057142857142
289,39,58.41,0,Month-to-month,Bank transfer,2387.06,1,59.6765,716.1179999999999
290,34,23.84,0,Month-to-month,Bank transfer,815.37,0,23.296285714285716,279.5554285714286
291,58,20.09,0,One year,Mailed check,1256.39,0,21.294745762711866,255.53694915254238
292,19,83.42,1,One year,Bank transfer,1595.32,0,79.76599999999999,957.1919999999999
293,68,82.11,1,Month-to-month,Bank transfer,5595.79,0,81.09840579710145,973.1808695652173
294,24,82.92,0,One year,Credit card,1974.81,0,78.9924,947.9088
295,39,12.17,1,Month-to-month,Credit card,521.76,1,13.044,156.52800000000002
296,37,45.92,0,Month-to-month,Mailed check,1766.93,1,46.49815789473684,557.9778947368421
297,61,31.76,0,Month-to-month,Bank transfer,1885.61,0,30.41306451612903,364.95677419354837
298,32,95.6,4,Month-to-month,Credit card,3041.58,0,92.16909090909091,1106.0290909090909
299,21,104.67,1,Month-to-month,Mailed check,2243.82,1,101.99181818181819,1223.9018181818183
300,2,37.13,1,Two year,Mailed check,67.78,1,22.593333333333334,271.12
301,26,83.46,2,One year,Bank transfer,2145.29,1,79.45518518518519,953.4622222222222
302,59,24.23,2,Two year,Credit card,1480.05,0,24.6675,296.01
303,1,40.27,1,Month-to-month,Bank transfer,95.44,0,47.72,572.64
304,64,25.25,3,Month-to-month,Credit card,1593.52,0,24.51569230769231,294.1883076923077
305,39,41.19,2,Month-to-month,Credit card,1617.03,1,40.42575,485.10900000000004
306,10,84.22,0,One year,Bank transfer,781.78,0,71.07090909090908,852.850909090909
307,22,110.14,0,Month-to-month,Mailed check,2378.31,0,103.40478260869565,1240.8573913043479
308,40,32.28,1,One year,Credit card,1297.41,0,31.644146341463415,379.729756097561
309,23,69.63,2,One year,Mailed check,1603.06,0,66.79416666666667,801.53
310,8,87.15,0,Two year,Mailed check,648.86,0,72.09555555555556,865.1466666666668
311,48,114.82,1,Month-to-month,Credit card,5475.56,1,111.7461224489796,1340.9534693877554
312,48,77.11,2,Month-to-month,Credit card,3648.03,0,74.4495918367347,893.3951020408164
313,9,38.06,1,Month-to-month,Bank transfer,365.29,0,36.529,438.34800000000007
314,20,78.8,1,Month-to-month,Bank transfer,1477.62,1,70.36285714285714,844.3542857142857
315,18,45.25,3,One year,Credit card,763.92,0,40.206315789473685,482.47578947368424
316,47,117.37,1,Month-to-month,Bank transfer,5423.24,1,112.98416666666667,1355.81
317,52,53.96,0,One year,Bank transfer,2826.87,0,53.337169811320756,640.046037735849
318,52,85.4,0,Month-to-month,Bank transfer,4350.66,1,82.08792452830188,985.0550943396227
319,67,12.56,1,Two year,Bank transfer,843.11,0,12.398676470588235,148.78411764705882
320,55,54.01,1,Two year,Credit card,3052.53,1,54.50946428571429,654.1135714285715
321,23,106.26,0,Month-to-month,Credit card,2527.65,1,105.31875000000001,1263.825
322,8,77.13,1,Two year,Credit card,526.74,0,58.52666666666667,702.32
323,44,58.83,3,Month-to-month,Mailed check,2603.44,0,57.854222222222226,694.2506666666667
